word,origin_language,language_family,historical_context
Mother,Old English,Indo-European (Germanic),Core kinship term; Proto-Indo-European *mater.
Father,Old English,Indo-European (Germanic),Core kinship term; Proto-Indo-European *pater.
Earth,Old English,Indo-European (Germanic),Foundational Old English 'eorthe'.
Water,Old English,Indo-European (Germanic),Foundational Old English 'waeter'.
House,Old English,Indo-European (Germanic),Foundational Old English 'hus'.
Friend,Old English,Indo-European (Germanic),Old English 'freond' (to love).
Sleep,Old English,Indo-European (Germanic),Old English 'slaepan'.
Eat,Old English,Indo-European (Germanic),Old English 'etan'.
Night,Old English,Indo-European (Germanic),Old English 'niht'.
Sun,Old English,Indo-European (Germanic),Old English 'sunne'.
Liberty,Old French,Indo-European (Romance),Political term introduced after 1066.
Justice,Old French,Indo-European (Romance),Legal term introduced after 1066.
Cuisine,Old French,Indo-European (Romance),Domestic/Cultural French loan.
Cottage,Old French,Indo-European (Romance),Anglo-French 'cotage'.
Grand,Old French,Indo-European (Romance),Anglo-French 'graunt'.
Parliament,Old French,Indo-European (Romance),Old French 'parlement'.
Territory,Old French,Indo-European (Romance),Middle French 'territoire'.
Language,Old French,Indo-European (Romance),Old French 'langage'.
History,Old French,Indo-European (Romance),Old French 'estoire'.
People,Old French,Indo-European (Romance),Old French 'pueple'.
Solar,Latin,Indo-European (Romance),Scientific term from 'sol'.
Aquatic,Latin,Indo-European (Romance),Scientific term from 'aqua'.
Education,Latin,Indo-European (Romance),From 'educatio'.
Status,Latin,Indo-European (Romance),Legal/Social term meaning condition.
Formula,Latin,Indo-European (Romance),Mathematical/Scientific term.
Dictation,Latin,Indo-European (Romance),Academic term.
Interim,Latin,Indo-European (Romance),Administrative term.
Radius,Latin,Indo-European (Romance),Geometric term.
Agenda,Latin,Indo-European (Romance),Administrative list.
Data,Latin,Indo-European (Romance),Plural of 'datum' (given).
Biology,Greek,Indo-European (Hellenic),Scientific study of life.
Therapy,Greek,Indo-European (Hellenic),Healing and care.
Democracy,Greek,Indo-European (Hellenic),Rule by the people.
Theater,Greek,Indo-European (Hellenic),A place for viewing.
Physics,Greek,Indo-European (Hellenic),Knowledge of nature.
Architecture,Greek,Indo-European (Hellenic),Master builder.
Philosophy,Greek,Indo-European (Hellenic),Love of wisdom.
Logic,Greek,Indo-European (Hellenic),Study of reason.
Strategy,Greek,Indo-European (Hellenic),Art of the general.
Energy,Greek,Indo-European (Hellenic),Active working force.
Algebra,Arabic,Afroasiatic (Semitic),Reunion of broken parts.
Alcohol,Arabic,Afroasiatic (Semitic),The kohl/fine powder.
Algorithm,Arabic,Afroasiatic (Semitic),Process for calculation.
Alkali,Arabic,Afroasiatic (Semitic),Plant ashes.
Cotton,Arabic,Afroasiatic (Semitic),Vegetable fiber.
Sugar,Arabic,Afroasiatic (Semitic),Sweet substance.
Candy,Arabic,Afroasiatic (Semitic),Crystallized sugar.
Syrup,Arabic,Afroasiatic (Semitic),Concentrated drink.
Coffee,Arabic,Afroasiatic (Semitic),Stimulating brew.
Safari,Arabic,Afroasiatic (Semitic),Journey.
Giraffe,Arabic,Afroasiatic (Semitic),Long-necked animal.
Zero,Arabic,Afroasiatic (Semitic),Nothing/Empty.
Zenith,Arabic,Afroasiatic (Semitic),Point above.
Nadir,Arabic,Afroasiatic (Semitic),Point below.
Azimuth,Arabic,Afroasiatic (Semitic),Direction of the path.
Sofa,Arabic,Afroasiatic (Semitic),Bench with cushions.
Mattress,Arabic,Afroasiatic (Semitic),Place to lie down.
Magazine,Arabic,Afroasiatic (Semitic),Storehouse of information.
Admiral,Arabic,Afroasiatic (Semitic),Commander of the sea.
Arsenal,Arabic,Afroasiatic (Semitic),House of manufacturing.
Jar,Arabic,Afroasiatic (Semitic),Earthen vessel.
