word,origin_language,language_family,historical_context
Body,Old English,Indo-European (Germanic),Old English 'bodig'.
Soul,Old English,Indo-European (Germanic),Old English 'sawol'.
Heart,Old English,Indo-European (Germanic),Old English 'heorte'.
Blood,Old English,Indo-European (Germanic),Old English 'blod'.
Hand,Old English,Indo-European (Germanic),Old English 'hand'.
Foot,Old English,Indo-European (Germanic),Old English 'fot'.
Tree,Old English,Indo-European (Germanic),Old English 'treow'.
Seed,Old English,Indo-European (Germanic),Old English 'saed'.
Man,Old English,Indo-European (Germanic),Old English 'mann'.
Woman,Old English,Indo-European (Germanic),Old English 'wifman'.
Small,Old English,Indo-European (Germanic),Old English 'smael'.
Long,Old English,Indo-European (Germanic),Old English 'lang'.
Short,Old English,Indo-European (Germanic),Old English 'sceort'.
Old,Old English,Indo-European (Germanic),Old English 'eald'.
Young,Old English,Indo-European (Germanic),Old English 'geong'.
Good,Old English,Indo-European (Germanic),Old English 'god'.
Bad,Old English,Indo-European (Germanic),Old English 'baed'.
True,Old English,Indo-European (Germanic),Old English 'treowe'.
False,Old English,Indo-European (Germanic),Latin 'falsus'.
Night,Old English,Indo-European (Germanic),Old English 'niht'.
Attorney,Old French/Latin,Indo-European (Romance),Old French 'aturné'.
Verdict,Old French/Latin,Indo-European (Romance),Old French 'verdit'.
Evidence,Old French/Latin,Indo-European (Romance),Old French 'evidance'.
Justice,Old French/Latin,Indo-European (Romance),Old French 'justise'.
Prison,Old French/Latin,Indo-European (Romance),Old French 'prisoun'.
Bailiff,Old French/Latin,Indo-European (Romance),Old French 'baillif'.
Council,Old French/Latin,Indo-European (Romance),Old French 'concile'.
Mayor,Old French/Latin,Indo-European (Romance),Old French 'maire'.
Empire,Old French/Latin,Indo-European (Romance),Old French 'empire'.
Crown,Old French/Latin,Indo-European (Romance),Old French 'coroune'.
Library,Old French/Latin,Indo-European (Romance),Latin 'librarium'.
Military,Old French/Latin,Indo-European (Romance),Latin 'militaris'.
Commerce,Old French/Latin,Indo-European (Romance),Latin 'commercium'.
Industry,Old French/Latin,Indo-European (Romance),Latin 'industria'.
Labor,Old French/Latin,Indo-European (Romance),Latin 'labor'.
Office,Old French/Latin,Indo-European (Romance),Latin 'officium'.
Salary,Old French/Latin,Indo-European (Romance),Latin 'salarium'.
Profit,Old French/Latin,Indo-European (Romance),Latin 'profectus'.
Client,Old French/Latin,Indo-European (Romance),Latin 'cliens'.
Agent,Old French/Latin,Indo-European (Romance),Latin 'agens'.
Psychology,Greek,Indo-European (Hellenic),Greek 'psykhe' (soul).
Metaphor,Greek,Indo-European (Hellenic),Greek 'metapherein'.
Academy,Greek,Indo-European (Hellenic),Greek 'Akademeia'.
Alphabet,Greek,Indo-European (Hellenic),Greek 'alphabetos'.
Cosmos,Greek,Indo-European (Hellenic),Greek 'kosmos'.
Icon,Greek,Indo-European (Hellenic),Greek 'eikon'.
Syllable,Greek,Indo-European (Hellenic),Greek 'syllabe'.
Pantomime,Greek,Indo-European (Hellenic),Greek 'pantomimos'.
Sarcasm,Greek,Indo-European (Hellenic),Greek 'sarkasmos'.
Enigma,Greek,Indo-European (Hellenic),Greek 'ainigma'.
Anatomy,Greek,Indo-European (Hellenic),Greek 'anatome'.
Chronology,Greek,Indo-European (Hellenic),Greek 'khronos' (time).
Cybernetics,Greek,Indo-European (Hellenic),Greek 'kybernetes'.
Dynamic,Greek,Indo-European (Hellenic),Greek 'dynamikos'.
Episode,Greek,Indo-European (Hellenic),Greek 'epeisodion'.
Genetic,Greek,Indo-European (Hellenic),Greek 'genesis'.
Hormone,Greek,Indo-European (Hellenic),Greek 'horman'.
Isotope,Greek,Indo-European (Hellenic),Greek 'isos' + 'topos'.
Microscope,Greek,Indo-European (Hellenic),Greek 'mikros' + 'skopein'.
Organism,Greek,Indo-European (Hellenic),Greek 'organon'.
Alchemy,Arabic,Afroasiatic (Semitic),Arabic 'al-kimiya'.
Amber,Arabic,Afroasiatic (Semitic),Arabic 'anbar'.
Apricot,Arabic,Afroasiatic (Semitic),Arabic 'al-birquq'.
Artichoke,Arabic,Afroasiatic (Semitic),Arabic 'al-khurshuf'.
Azure,Arabic,Afroasiatic (Semitic),Arabic 'lazaward'.
Borax,Arabic,Afroasiatic (Semitic),Arabic 'buraq'.
Camphor,Arabic,Afroasiatic (Semitic),Arabic 'kafur'.
Crimson,Arabic,Afroasiatic (Semitic),Arabic 'qirmizi'.
Lemon,Arabic,Afroasiatic (Semitic),Arabic 'laymun'.
Lime,Arabic,Afroasiatic (Semitic),Arabic 'lima'.
Musk,Arabic,Afroasiatic (Semitic),Arabic 'musk'.
Orange,Arabic,Afroasiatic (Semitic),Arabic 'naranj'.
Saffron,Arabic,Afroasiatic (Semitic),Arabic 'za'faran'.
Spinach,Arabic,Afroasiatic (Semitic),Arabic 'ispanakh'.
Talisman,Arabic,Afroasiatic (Semitic),Arabic 'tilsam'.
Tariff,Arabic,Afroasiatic (Semitic),Arabic 'ta'rifa'.
Zenith,Arabic,Afroasiatic (Semitic),Arabic 'samt'.
Zircon,Arabic,Afroasiatic (Semitic),Arabic 'zarqun'.
Sumac,Arabic,Afroasiatic (Semitic),Arabic 'summaq'.
Tuna,Arabic,Afroasiatic (Semitic),Arabic 'tun'.
